,Date,Open,High,Low,Close
1781,2018-05-17,1.18156,1.18374,1.1775,1.1797
1782,2018-05-16,1.18178,1.18542,1.1762,1.18151
1783,2018-05-15,1.19285,1.194,1.1816,1.18175
1784,2018-05-14,1.19472,1.19961,1.192,1.19285
1785,2018-05-11,1.19178,1.197,1.189,1.19415
1786,2018-05-10,1.18529,1.19467,1.18419,1.19178
1787,2018-05-09,1.18594,1.1897,1.1821,1.1853
1788,2018-05-08,1.1922,1.19388,1.1837,1.18595
1789,2018-05-07,1.19598,1.1978,1.1896,1.1922
1790,2018-05-04,1.19862,1.19956,1.1909,1.19585
1791,2018-05-03,1.19543,1.201,1.1946,1.19857
1792,2018-05-02,1.19891,1.20317,1.1936,1.19539
1793,2018-05-01,1.20805,1.20842,1.1979,1.19892
1794,2018-04-30,1.21213,1.214,1.2062,1.20805
1795,2018-04-27,1.21044,1.2133,1.2053,1.2125
1796,2018-04-26,1.21687,1.221,1.2093,1.21036
1797,2018-04-25,1.22328,1.22388,1.2158,1.21687
1798,2018-04-24,1.221,1.22449,1.218,1.22326
1799,2018-04-23,1.228,1.229,1.2196,1.22098
1800,2018-04-20,1.23424,1.23529,1.2249,1.22864
1801,2018-04-19,1.23792,1.24003,1.2328,1.23419
