Date,Adjusted Close,EMA,Open,High,Low,Close,Effective_Fed_Rate,MACD,MACD_Signal,MACD_Hist,RSI,SMA
2019-01-10,97.4405353533065,96.0001,1.15485,1.15698,1.1483,1.14972,2.4,-1.09,-1.5287,0.4387,51.9742,95.3535
2019-01-09,98.0707009776956,95.7594,1.14404,1.15581,1.1437,1.15482,2.4,-1.2827,-1.6383,0.3557,54.1419,94.5935
2019-01-08,96.6880987868717,95.3315,1.14755,1.14846,1.1421,1.14404,2.4,-1.5713,-1.7273,0.156,51.8249,94.0122
2019-01-07,95.9920949629195,94.9798,1.14046,1.14826,1.1402,1.14751,2.4,-1.8382,-1.7663,-0.072,47.77,93.8796
2019-01-04,95.8698240208738,94.8427,1.13932,1.14191,1.1344,1.13942,2.4,-2.0182,-1.7483,-0.2699,41.7147,94.0122
2019-01-03,91.6091519634368,95.0763,1.1333,1.1411,1.1308,1.13932,2.4,-2.0346,-1.6808,-0.3538,42.5943,94.3819
2019-01-02,95.1079819973586,95.2825,1.14606,1.14968,1.13105,1.13369,2.4,-2.0624,-1.5923,-0.47,40.973,94.7252
2018-12-31,95.5312275659782,95.6494,1.14392,1.14674,1.142,1.1466,2.4,-2.0152,-1.4748,-0.5403,44.5561,95.2763
2018-12-28,94.4213836304869,95.7342,1.14291,1.14728,1.1426,1.14415,2.4,-2.0922,-1.3398,-0.7525,46.2289,95.931
2018-12-27,95.1644147398412,95.6706,1.13552,1.14542,1.1354,1.14291,2.4,-2.2368,-1.1516,-1.0851,39.0458,96.6354
2018-12-26,94.5812764008543,96.176,1.14107,1.142,1.1341,1.13552,2.4,-2.1215,-0.8804,-1.2412,25.7324,97.7255
2018-12-24,88.5335674981345,97.6633,1.13683,1.14386,1.1364,1.14,2.4,-1.5452,-0.5701,-0.9751,29.2422,99.1044
2018-12-21,92.3898049011129,98.9501,1.14487,1.1474,1.1354,1.1367,2.4,-1.0303,-0.3263,-0.7041,36.1416,99.774
2018-12-20,95.4747948234956,99.6973,1.13798,1.14859,1.1375,1.14482,2.4,-0.7365,-0.1503,-0.5862,39.1286,100.4089
2018-12-19,97.5251844670304,100.3138,1.13696,1.14393,1.13639,1.13798,2.2,-0.4867,-0.0037,-0.483,40.3983,100.6694
2018-12-18,97.7885372652826,100.9418,1.13469,1.14023,1.1335,1.137,2.2,-0.2183,0.117,-0.3354,40.5958,101.4491
2018-12-17,96.7727479005956,101.6886,1.13055,1.13577,1.1302,1.13472,2.2,0.1179,0.2009,-0.083,43.7962,102.3191
2018-12-14,99.7260614238522,102.2543,1.13568,1.1365,1.1268,1.1307,2.19,0.3863,0.2216,0.1646,49.8469,102.8167
2018-12-13,102.942727745361,102.3521,1.1372,1.13933,1.133,1.13565,2.19,0.4513,0.1805,0.2708,52.9289,103.0123
2018-12-12,102.594725833385,102.1936,1.13192,1.13873,1.1314,1.13708,2.19,0.4003,0.1128,0.2876,55.9982,102.8534
2018-12-11,102.133858436444,101.7262,1.13501,1.14004,1.1305,1.13194,2.19,0.204,0.0409,0.1631,54.0007,102.4188
2018-12-10,101.1933127284,101.3827,1.13979,1.14427,1.1348,1.135,2.2,0.0549,0.0001,0.0548,43.3913,101.9476
2018-12-07,98.5880011171195,102.0079,1.13768,1.14237,1.1359,1.13892,2.19,0.3426,-0.0136,0.3561,50.9662,101.7003
2018-12-06,102.69818586127,102.0239,1.13478,1.14126,1.132,1.13769,2.2,0.3619,-0.1026,0.4645,44.7599,101.2507
2018-12-04,102.06802023688,102.5784,1.13535,1.1419,1.1317,1.13406,2.2,0.6265,-0.2187,0.8452,61.5109,100.8726
2018-12-03,105.425768414596,101.977,1.13317,1.13798,1.1318,1.13536,2.19,0.369,-0.43,0.799,65.3216,100.5274
2018-11-30,104.297113564944,101.0204,1.13882,1.14005,1.1304,1.13192,2.2,-0.0665,-0.6298,0.5633,60.5488,99.9706
2018-11-29,103.638731569313,100.3319,1.13677,1.14018,1.1347,1.1388,2.2,-0.4012,-0.7706,0.3694,59.7466,99.4336
