Date,AMZN_Adjusted Close,AMZN_EMA,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Effective_Fed_Rate,AMZN_MACD,AMZN_MACD_Signal,AMZN_MACD_Hist,AMZN_RSI,AMZN_SMA,AAPL_Adjusted Close,AAPL_EMA,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Effective_Fed_Rate,AAPL_MACD,AAPL_MACD_Signal,AAPL_MACD_Hist,AAPL_RSI,AAPL_SMA,MSFT_Adjusted Close,MSFT_EMA,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Effective_Fed_Rate,MSFT_MACD,MSFT_MACD_Signal,MSFT_MACD_Hist,MSFT_RSI,MSFT_SMA
2022-08-04,142.57,130.0479,1.01702,1.02539,1.0153,1.02447,2.33,6.1235,3.7937,2.3298,77.287,128.3745,163.410012665447,156.2273,1.01702,1.02539,1.0153,1.02447,2.33,5.0338,3.8785,1.1553,78.6147,155.7544,277.159318184067,266.1138,1.01702,1.02539,1.0153,1.02447,2.33,4.6305,2.4136,2.2169,72.5601,264.514
2022-08-03,139.52,127.7075,1.01636,1.02105,1.0121,1.01691,2.33,5.3862,3.2113,2.1749,73.7457,126.6365,163.7253808824,154.5885,1.01636,1.02105,1.0121,1.01691,2.33,4.5788,3.5897,0.9891,72.2531,154.6206,276.006319786545,264.0609,1.01636,1.02105,1.0121,1.01691,2.33,3.9307,1.8594,2.0713,67.8066,262.3633
2022-08-02,134.16,125.818,1.02578,1.02939,1.01619,1.01625,2.33,4.8116,2.6676,2.144,72.4265,124.877,157.693963733177,153.7166,1.02578,1.02939,1.01619,1.01625,2.33,4.4497,3.3424,1.1074,71.1463,153.6627,268.53137254837,262.6462,1.02578,1.02939,1.01619,1.01625,2.33,3.4818,1.3416,2.1402,67.0315,260.7159
2022-08-01,135.39,123.8398,1.02182,1.02753,1.0204,1.02587,2.33,4.16,2.1316,2.0285,72.9579,122.975,159.172252250144,152.813,1.02182,1.02753,1.0204,1.02587,2.33,4.2945,3.0655,1.229,74.4322,152.4623,271.648376690825,261.0822,1.02182,1.02753,1.0204,1.02587,2.33,2.9338,0.8065,2.1273,70.7001,258.9156
2022-07-29,134.95,121.3686,1.01952,1.02544,1.0144,1.02248,2.32,3.2434,1.6245,1.6189,72.9132,120.979,160.157777928121,151.5093,1.01952,1.02544,1.0144,1.02248,2.32,3.9427,2.7583,1.1844,75.2225,151.4502,274.315906881702,258.7754,1.01952,1.02544,1.0144,1.02248,2.32,2.0106,0.2747,1.7359,70.6047,257.1499
2022-07-28,122.28,118.3617,1.02005,1.02344,1.0112,1.01947,2.33,2.0324,1.2197,0.8127,59.5314,118.739,155.072465429757,149.8656,1.02005,1.02344,1.0112,1.01947,2.33,3.4132,2.4622,0.951,69.8941,150.3208,270.084989033167,255.982,1.02005,1.02344,1.0112,1.01947,2.33,0.815,-0.1593,0.9742,63.5168,255.0022
2022-07-27,120.97,117.6487,1.01174,1.02209,1.0095,1.01998,1.58,1.8144,1.0166,0.7978,52.8286,117.606,154.52057105009,148.7896,1.01174,1.02209,1.0095,1.01998,1.58,3.1151,2.2244,0.8907,62.372,149.0494,262.590499449272,254.2942,1.01174,1.02209,1.0095,1.01998,1.58,0.068,-0.4028,0.4708,52.3418,253.1281
2022-07-26,114.81,117.724,1.0221,1.02502,1.0106,1.01179,1.58,1.9434,0.8171,1.1263,50.1787,116.578,149.405692781387,148.438,1.0221,1.02502,1.0106,1.01179,1.58,3.1309,2.0018,1.1292,61.7563,148.1043,246.135844352429,254.0965,1.0221,1.02502,1.0106,1.01179,1.58,-0.0318,-0.5205,0.4887,50.2669,252.0562
2022-07-25,121.14,118.1538,1.02174,1.02579,1.0177,1.022,1.58,2.2347,0.5355,1.6992,65.1397,116.215,150.736152446656,148.0773,1.02174,1.02579,1.0177,1.022,1.58,3.1372,1.7195,1.4177,67.2416,147.4632,252.907267144657,254.1371,1.02174,1.02579,1.0177,1.022,1.58,-0.0295,-0.6427,0.6132,52.0474,252.6444
2022-07-22,122.42,117.1446,1.02268,1.02553,1.0129,1.021,1.58,1.8709,0.1107,1.7601,71.5793,115.3535,151.859651719551,147.2544,1.02268,1.02553,1.0129,1.021,1.58,2.9244,1.365,1.5593,71.7794,146.6413,254.402256592292,253.9403,1.02268,1.02553,1.0129,1.021,1.58,-0.1389,-0.796,0.6571,59.0932,253.0993
